title,authors,year,venue,citations,url,abstract
Memetic firefly algorithm for combinatorial optimization,"Iztok Fister, Xin-She Yang, Iztok Fister, J. Brest",2012.0,,134,https://www.semanticscholar.org/paper/11270d8ed09b7839d4d42ad692ee3546f913c3f6,"Firefly algorithms belong to modern meta-heuristic algorithms inspired by nature that can be successfully applied to continuous optimization problems. In this paper, we have been applied the firefly algorithm, hybridized with local search heuristic, to combinatorial optimization problems, where we use graph 3-coloring problems as test benchmarks. The results of the proposed memetic firefly algorithm (MFFA) were compared with the results of the Hybrid Evolutionary Algorithm (HEA), Tabucol, and the evolutionary algorithm with SAW method (EA-SAW) by coloring the suite of medium-scaled random graphs (graphs with 500 vertices) generated using the Culberson random graph generator. The results of firefly algorithm were very promising and showed a potential that this algorithm could successfully be applied in near future to the other combinatorial optimization problems as well."
Covering edges by cliques with regard to keyword conflicts and intersection graphs,"L. T. Kou, L. Stockmeyer, Chak-Kuen Wong",1978.0,CACM,133,https://www.semanticscholar.org/paper/b29ca3f923043940a6b8eb6fa02ebab6dc30a5ab,
An exact approach for the Vertex Coloring Problem,"E. Malaguti, M. Monaci, P. Toth",2011.0,Discrete Optimization,130,https://www.semanticscholar.org/paper/83f0c6a1337f3d668c2df411ed2b212ae6dc1e91,
Four classes of perfectly orderable graphs,"V. Chvátal, C. Hoàng, N. V. R. Mahadev, D. Werra",1987.0,Journal of Graph Theory,126,https://www.semanticscholar.org/paper/33331a5e2c497726315efa1c1e0ae7dd8ae8357d,
Spill code minimization techniques for optimizing compliers,"D. Bernstein, M. Golumbic, Y. Mansour, R. Pinter, D. Goldin, H. Krawczyk, I. Nahshon",1989.0,ACM-SIGPLAN Symposium on Programming Language Design and Implementation,124,https://www.semanticscholar.org/paper/30366a387533a6323b2952be70f1dcdbf722dfdc,
An adaptive memory algorithm for the k-coloring problem,"P. Galinier, A. Hertz, N. Zufferey",2003.0,Discrete Applied Mathematics,123,https://www.semanticscholar.org/paper/232f89961e4e93c12de4faa8591b8a6428e434e2,"Let G=(V,E) be a graph with vertex set V and edge set E. The k-coloring problem is to assign a color (a number chosen in {1,...,k}) to each vertex of G so that no edge has both endpoints with the same color. The adaptive memory algorithm is a hybrid evolutionary heuristic that uses a central memory. At each iteration, the information contained in the central memory is used for producing an offspring solution which is then possibly improved using a local search algorithm. The so obtained solution is finally used to update the central memory. We describe in this paper an adaptive memory algorithm for the k-coloring problem. Computational experiments give evidence that this new algorithm is competitive with, and simpler and more flexible than, the best known graph coloring algorithms."
A graph coloring algorithm for large scale scheduling problems,"V. Lotfi, S. Sarin",1986.0,Computers & Operations Research,110,https://www.semanticscholar.org/paper/77e75a2e51cc5fd7f7d2dc062584108e43e4947e,
Exact Solution of Graph Coloring Problems via Constraint Programming and Column Generation,"Stefano Gualandi, F. Malucelli",2012.0,INFORMS journal on computing,105,https://www.semanticscholar.org/paper/cfa818a28d30b0c570ec70dfefb26dee79e8c17e,
Using Integer Programming to Solve the Train-Platforming Problem,A. Billionnet,2003.0,Transportation Science,99,https://www.semanticscholar.org/paper/707d2d4624858cff9ff281f51a20941882f380ca,
Scalable parallel graph coloring algorithms,"A. Gebremedhin, F. Manne",2000.0,Concurrency Practice and Experience,96,https://www.semanticscholar.org/paper/189eab74d03cade49600011b4dc3f1f5481861c1,
