title,authors,year,venue,citations,url,abstract
Optimization by ant algorithms: possible roles for an individual ant,N. Zufferey,2011.0,Optimization Letters,24,https://www.semanticscholar.org/paper/64a5de11e9bd739d7adb815c543d3370d9a9ae38,
Construction of examination timetables based on ordering heuristics,"Syariza Abdul-Rahman, A. Bargiela, E. Burke, Ender Özcan, B. McCollum",2009.0,International Symposium on Computer and Information Sciences,24,https://www.semanticscholar.org/paper/01e6656f283eac1ef9ea858c40b46efa5da2b030,
Approximating Maximum Stable Set and Minimum Graph Coloring Problems with the Positive Semidefinite Relaxation,"S. Benson, Y. Ye",2001.0,,23,https://www.semanticscholar.org/paper/de2141fcf9428d3249f6688537eea3f294424acc,
Examination scheduling: A computerized application,N. Balakrishnan,1991.0,,23,https://www.semanticscholar.org/paper/676c57de63a66b8140f4a19283a4d07eac6c46e2,
Learning Temporal–Spatial Spectrum Reuse,"Yi Zhang, Wee Peng Tay, K. H. Li, M. Esseghir, D. Gaïti",2016.0,IEEE Transactions on Communications,23,https://www.semanticscholar.org/paper/e26b01dae1d4e34f24b5773f92a87088657978b9,
A grouping genetic algorithm for coloring the edges of graphs,"S. Khuri, Tim Walters, Yanti Sugono",2000.0,ACM Symposium on Applied Computing,23,https://www.semanticscholar.org/paper/4b09d01e37d174a3ca74fc1ac6acabdc76ccd301,
On Maximum Differential Graph Coloring,"Yifan Hu, S. Kobourov, S. Veeramoni",2010.0,International Symposium Graph Drawing and Network Visualization,23,https://www.semanticscholar.org/paper/b6e9a9b7e93b90cc968a56ed0a66a0b69130b067,
Tabu Search vs. Random Walk,"O. Steinmann, A. Strohmaier, T. Stützle",1997.0,Deutsche Jahrestagung für Künstliche Intelligenz,23,https://www.semanticscholar.org/paper/54886891ade3f84833ac7747fe6ace614b62c4bb,
Empirical Studies of Heuristic Local Search for Constraint Solving,"Jin-Kao Hao, R. Dorne",1996.0,International Conference on Principles and Practice of Constraint Programming,23,https://www.semanticscholar.org/paper/04b6446ce4c30df4f81c349cec9a269047d43118,
Physical Layer Effect on MAC Performance in Ad-Hoc Wireless Networks,"R. Negi, Arjunan Rajeswaran negi",2003.0,,23,https://www.semanticscholar.org/paper/80f6664b4e98dc6df5e550f49068d9ae233f3717,
Simple decentralized graph coloring,S. F. Galán,2016.0,Computational optimization and applications,22,https://www.semanticscholar.org/paper/e81b05ee931a6a14ca792218ab55bc6a30bc6e04,
Integrated scheduling and interference coordination in cellular OFDMA networks,M. Necker,2007.0,"International Conference on Broadband Communications, Networks and Systems",22,https://www.semanticscholar.org/paper/0f8e08de04f341c1f7bdef5a2d9cf231028e3d1a,
EPCOT : an Efficient Procedure for Coloring Optimally with Tabu search,"N. Dubois, D. Werra",1993.0,,22,https://www.semanticscholar.org/paper/7f39e25ca18550389832790b972ccc580737c356,
TIGRA: Timely Sensor Data Collection Using Distributed Graph Coloring,"Lilia Paradis, Qi Han",2008.0,Annual IEEE International Conference on Pervasive Computing and Communications,22,https://www.semanticscholar.org/paper/c9ed12ebc876df128bb3445ad60b9e7da0a7485d,
Towards Optimal TDMA Frame Size in Wireless Sensor Networks,"Kevin Bryan, Tiegeng Ren, L. DiPippo, Timothy Henry, V. Fay-Wolfe",2007.0,,22,https://www.semanticscholar.org/paper/cfb02e1ea1945a14836166aeab9883ff1c58fb1e,
Optimization of university course scheduling problem with a hybrid artificial bee colony algorithm,"A. Öner, S. Özcan, Derya Dengi",2011.0,IEEE Congress on Evolutionary Computation,22,https://www.semanticscholar.org/paper/e9de0ed7b088e4d462c2da3a628985c02e73c08c,
A local search heuristic for chromatic sum,"Anders Helmar, Marco Chiarandini",2011.0,,22,https://www.semanticscholar.org/paper/8eff1a17097780706a3f4d7a4971faa0fff6809b,
A branch-and-cut algorithm for the equitable coloring problem using a formulation by representatives,"L. Bahiense, Yuri Frota, T. Noronha, C. Ribeiro",2014.0,Discrete Applied Mathematics,22,https://www.semanticscholar.org/paper/ebeafc9d0894ef8f856d124d80f8a6cdf4466d19,
A Large Neighborhood Search Heuristic for Graph Coloring,"M. Trick, Hakan Yildiz",2007.0,Integration of AI and OR Techniques in Constraint Programming,21,https://www.semanticscholar.org/paper/c2606c57ce5d4443603b8c789799729f3ebf7367,
Iterative image segmentation with feature driven heuristic four-color labeling,"Kunqian Li, Wenbing Tao, Xiaobai Liu, Liman Liu",2018.0,Pattern Recognition,21,https://www.semanticscholar.org/paper/8fd1176f902ce7d6b4406f57e08671215fc12714,
Graph 3-coloring with a hybrid self-adaptive evolutionary algorithm,"Iztok Fister, M. Mernik, B. Filipič",2012.0,Computational optimization and applications,21,https://www.semanticscholar.org/paper/2ba553f1fb3a71ca4c10dbab468a1ab3ca43790d,"This paper proposes a hybrid self-adaptive evolutionary algorithm for graph coloring that is hybridized with the following novel elements: heuristic genotype-phenotype mapping, a swap local search heuristic, and a neutral survivor selection operator. This algorithm was compared with the evolutionary algorithm with the SAW method of Eiben et al., the Tabucol algorithm of Hertz and de Werra, and the hybrid evolutionary algorithm of Galinier and Hao. The performance of these algorithms were tested on a test suite consisting of randomly generated 3-colorable graphs of various structural features, such as graph size, type, edge density, and variability in sizes of color classes. Furthermore, the test graphs were generated including the phase transition where the graphs are hard to color. The purpose of the extensive experimental work was threefold: to investigate the behavior of the tested algorithms in the phase transition, to identify what impact hybridization with the DSatur traditional heuristic has on the evolutionary algorithm, and to show how graph structural features influence the performance of the graph-coloring algorithms. The results indicate that the performance of the hybrid self-adaptive evolutionary algorithm is comparable with, or better than, the performance of the hybrid evolutionary algorithm which is one of the best graph-coloring algorithms today. Moreover, the fact that all the considered algorithms performed poorly on flat graphs confirms that graphs of this type are really the hardest to color."
Solving Graph Coloring Problems with the Douglas-Rachford Algorithm,"F. J. Aragón Artacho, Rubén Campoy",2016.0,Set-Valued and Variational Analysis,21,https://www.semanticscholar.org/paper/2ee59cedc22186e27eb091f3a56d2fa65a20b89b,"We present the Douglas-Rachford algorithm as a successful heuristic for solving graph coloring problems. Given a set of colors, these types of problems consist in assigning a color to each node of a graph, in such a way that every pair of adjacent nodes are assigned with different colors. We formulate the graph coloring problem as an appropriate feasibility problem that can be effectively solved by the Douglas-Rachford algorithm, despite the nonconvexity arising from the combinatorial nature of the problem. Different modifications of the graph coloring problem and applications are also presented. The good performance of the method is shown in various computational experiments."
A greedy spectrum sharing algorithm for cognitive radio networks,"Elmahdi Driouch, W. Ajib, Ahmed Ben Dhaou",2012.0,"International Conference on Computing, Networking and Communications",20,https://www.semanticscholar.org/paper/d17610bd1c9f7c3b7322c7a08fa8b6c9b3ec3479,
WiFi based communication and localization of an autonomous mobile robot for refinery inspection,"M. Sweatt, Adewole Ayoade, Qi Han, J. Steele, K. Al-Wahedi, H. Karki",2015.0,IEEE International Conference on Robotics and Automation,20,https://www.semanticscholar.org/paper/ff535182e81f520b8304223d546f8f8b846145b7,
A branch-and-price algorithm for the robust graph coloring problem,"C. Archetti, Nicola Bianchessi, A. Hertz",2011.0,Discrete Applied Mathematics,20,https://www.semanticscholar.org/paper/acdcdec6c5f9b310a01227ba6cf6192b13f9674e,
An Evolutionary Annealing Approach to Graph Coloring,"D. Fotakis, S. Likothanassis, Stamatis Stefanakos",2001.0,EvoWorkshops,20,https://www.semanticscholar.org/paper/093586b0c712ec8f402ca4fdd2013dc55b5ebed3,
Graph Coloring on the GPU,"M. Osama, M. Truong, Carl Yang, A. Buluç, J. Owens",2019.0,"IEEE International Symposium on Parallel & Distributed Processing, Workshops and Phd Forum",20,https://www.semanticscholar.org/paper/eb6f4be0ba2226284ba214e5f490d29d6136bb99,"We design and implement parallel graph coloring algorithms on the GPU using two different abstractions—one data-centric (Gunrock), the other linear-algebra-based (GraphBLAS). We analyze the impact of variations of a baseline independent-set algorithm on quality and runtime. We study how optimizations such as hashing, avoiding atomics, and a max-min heuristic affect performance. Our Gunrock graph coloring implementation has a peak 2x speed-up, a geomean speed-up of 1.3x and produces 1.6x more colors over previous hardwired state-of-the-art implementations on real-world datasets. Our GraphBLAS implementation of Luby's algorithm produces 1.9x fewer colors than the previous state-of-the-art parallel implementation at the cost of 3x extra runtime, and 1.014x fewer colors than a greedy, sequential algorithm with a geomean speed-up of 2.6x."
Scheduling Constraints and Interference Graph Properties for Graph-based Interference Coordination in Cellular OFDMA Networks,M. Necker,2009.0,Mob. Networks Appl.,19,https://www.semanticscholar.org/paper/92e5d0696c1961a4ce9ab000785d1f65fc13d3c5,
An enhanced formulation for solving graph coloring problems with the Douglas–Rachford algorithm,"F. J. Aragón Artacho, Rubén Campoy, V. Elser",2018.0,Journal of Global Optimization,19,https://www.semanticscholar.org/paper/a1c4d6b32d7da300aa029163b2531d98225dece7,"We study the behavior of the Douglas–Rachford algorithm on the graph vertex-coloring problem. Given a graph and a number of colors, the goal is to find a coloring of the vertices so that all adjacent vertex pairs have different colors. In spite of the combinatorial nature of this problem, the Douglas–Rachford algorithm was recently shown to be a successful heuristic for solving a wide variety of graph coloring instances, when the problem was cast as a feasibility problem on binary indicator variables. In this work we consider a different formulation, based on semidefinite programming. The much improved performance of the Douglas–Rachford algorithm, with this new approach, is demonstrated through various numerical experiments."
Almost All Graphs of Degree 4 are 3-colorable,"D. Achlioptas, Cristopher Moore",2001.0,,19,https://www.semanticscholar.org/paper/ceb9b35c764d8ef829a349002f84d9f94108ca2f,
Improved Lower Bounds for Sum Coloring via Clique Decomposition,"Qinghua Wu, Jin-Kao Hao",2013.0,arXiv.org,19,https://www.semanticscholar.org/paper/edff6155775f244782cee772cb14e22a0554a928,"Given an undirected graph $G = (V,E)$ with a set $V$ of vertices and a set $E$ of edges, the minimum sum coloring problem (MSCP) is to find a legal vertex coloring of $G$, using colors represented by natural numbers $1, 2, . . .$ such that the total sum of the colors assigned to the vertices is minimized. This paper describes an approach based on the decomposition of the original graph into disjoint cliques for computing lower bounds for the MSCP. Basically, the proposed approach identifies and removes at each extraction iteration a maximum number of cliques of the same size (the largest possible) from the graph. Computational experiments show that this approach is able to improve on the current best lower bounds for 14 benchmark instances, and to prove optimality for the first time for 4 instances. We also report lower bounds for 24 more instances for which no such bounds are available in the literature. These new lower bounds are useful to estimate the quality of the upper bounds obtained with various heuristic approaches."
Grouping products for the optimization of production processes: A case in the steel manufacturing industry,"S. Casado, M. Laguna, Joaquín A. Pacheco, Julio Puche",2020.0,European Journal of Operational Research,18,https://www.semanticscholar.org/paper/833d2463d8ec8d0afc25998cef1761dbc3a1ea4d,"Abstract The optimization of a production process is often based on the efficient utilization of the production facility and equipment. In particular, reducing the time to change from producing one product to another is critical to the fulfillment of demand at a minimum cost. We study the production of steel coils in the context of searching for groups of products with similar characteristics in order to create production batches that minimize the cost of fulfilling production orders originated by a known demand. We formulate the problem as mixed-integer program and develop a heuristic solution procedure. We show that a simplified version of the problem is equivalent to the clique partition problem, which in turn is equivalent to the graph-coloring problem. Computational experiments show that the heuristic procedure is effective in finding high-quality solutions to both the clique partition problem and the original grouping problem that includes additional costs."
Comparative Performance of Modified Simulated Annealing with Simple Simulated Annealing for Graph Coloring Problem,"Anindya Jyoti Pala, Biman Rayb, Nordin Zakariaa, Samar Sen Sarmac",2012.0,International Conference on Conceptual Structures,18,https://www.semanticscholar.org/paper/08bc504aafd79ba171a75b807f201889499665ae,"The problems which are NP-complete in nature are always attracting the computer scientists to develop some heuristic algorithms, generating optimal solution in time-space efficient manner compared to the existing ones. Coloring of the vertices of a graph with minimum number of colours belongs to the same category, where the algorithm designers are trying to propose some new algorithms for better result. Here, we have designed modified Simulated Annealing (MSA) for optimal vertex coloring of a simple, symmetric and connected graph (GCP). The algorithm has been tested upon a series of benchmarks including large scale test case and has shown better output than the simple or non-modified version of the same algorithm. This paper describes the advancement of performance of simple SA applied upon the problem of graph coloring using a specially designed operator called random change operator instead of the general change operator. Our work is still going on for designing better algorithms generating optimal solutions."
New Algorithm for the Sum Coloring Problem,"S. M. Douiri, S. Elbernoussi",2011.0,,18,https://www.semanticscholar.org/paper/3b52c942ae43f2a066382d412ca8f0a40c96e51c,
Combining Heuristics for Configuration Problems Using Answer Set Programming,"M. Gebser, A. Ryabokon, Gottfried Schenner",2015.0,International Conference on Logic Programming and Non-Monotonic Reasoning,18,https://www.semanticscholar.org/paper/deaa700d573fdd9ca21ecd4370fed374ff2e3215,
Performance comparison of parallel graph coloring algorithms on BSP model using hadoop,"Nishant M. Gandhi, R. Misra",2015.0,"International Conference on Computing, Networking and Communications",17,https://www.semanticscholar.org/paper/9608e573534065e18686bacc47df8d596dbdb18b,
RWA on Scheduled Lightpath Demands in WDM Optical Transport Networks with Time Disjoint Paths,"Hyun Gi Ahn, Tae-Jin Lee, M. Chung, Hyunseung Choo",2005.0,International Conference on Information Networking,17,https://www.semanticscholar.org/paper/7811027e8db72d6dce90d8e2eb517c9f49c9564a,
Buffer allocation in regular dataflow networks: an approach based on coloring circular-arc graphs,"R. Govindarajan, S. Rengarajan",1996.0,International Conference on High Performance Computing,17,https://www.semanticscholar.org/paper/c7756cd7c3dac1b4e589beba49da40fe88f0f933,"In this paper we discuss a method to perform compile-time buffer allocation, allowing efficient buffer sharing among the arcs of a special form of dataflow graphs-known as regular stream flow graphs-commonly used in Digital Signal Processing applications. We relate the buffer sharing problem to that of finding independent sets in weighted circular arc graph. An important difference between the traditional graph coloring/register allocation problem and our buffer sharing problem is that in our problem the aim is to minimize the sum of the weights of the independent sets, rather than the number of independent sets. We present a heuristic algorithm and experiment it on a large number of randomly generated regular dataflow graphs as well as a few DSP applications. It is observed that the heuristic algorithm performs well, reducing the buffer requirement by 14.3% on the average. Also, we observe that buffer requirement achieved by the heuristic algorithm is within 2.1% from the lower bound."
Graph coloring using the reduced quantum genetic algorithm,"S. Ardelean, M. Udrescu",2022.0,PeerJ Computer Science,17,https://www.semanticscholar.org/paper/5c85583bdfcccaa633acf1f9686b213af70a2217,"Genetic algorithms (GA) are computational methods for solving optimization problems inspired by natural selection. Because we can simulate the quantum circuits that implement GA in different highly configurable noise models and even run GA on actual quantum computers, we can analyze this class of heuristic methods in the quantum context for NP-hard problems. This paper proposes an instantiation of the Reduced Quantum Genetic Algorithm (RQGA) that solves the NP-hard graph coloring problem in O(N1/2). The proposed implementation solves both vertex and edge coloring and can also determine the chromatic number (i.e., the minimum number of colors required to color the graph). We examine the results, analyze the algorithm convergence, and measure the algorithm's performance using the Qiskit simulation environment. Our Reduced Quantum Genetic Algorithm (RQGA) circuit implementation and the graph coloring results show that quantum heuristics can tackle complex computational problems more efficiently than their conventional counterparts."
Worst case analysis of a graph coloring algorithm,"J. Spinrad, G. Vijayan",1985.0,Discrete Applied Mathematics,17,https://www.semanticscholar.org/paper/77c5577f2ad8c631ab2e187769c99f57ff4d5be7,
Exploiting Problem Structure as a Search Heuristic,T. Hogg,1998.0,,17,https://www.semanticscholar.org/paper/40c444fd055d84a6b830d841d3744859c0ca98af,
Opportunistic Network Coding-Assisted Cloud Offloading in Heterogeneous Fog Radio Access Networks,"Yousef N. Shnaiwer, Sameh Sorour, T. Al-Naffouri, S. Al-Ghadhban",2019.0,IEEE Access,16,https://www.semanticscholar.org/paper/c5a7a35f4bd48f3a001bc9e9ba299b39c0d06734,"Caching and cloud control are new technologies that were suggested to improve the performance of future wireless networks. Fog radio access networks (F-RANs) have been recently proposed to further improve the throughput of future cellular networks by exploiting these two technologies. In this paper, we study the cloud offloading gains achieved by utilizing F-RANs that admit enhanced remote radio heads (eRRHs) with heterogeneous wireless technologies, namely, LTE and WiFi. This F-RAN architecture thus allows widely proliferating smart phone devices to receive two packets simultaneously from their in-built LTE and WiFi interfaces. We first formulate the general cloud base station (CBS) offloading problem as an optimization problem over a dual conflict graph, which is proven to be intractable. Thus, we formulate an online version of the CBS offloading problem in heterogeneous F-RANs as a weighted graph coloring problem and show it is NP-hard. We then devise a novel opportunistic network coding (ONC)-assisted heuristic solution to this problem, which divides it into two subproblems and solves each subproblem independently. We derive lower bounds on the online and aggregate CBS offloading performances of our proposed scheme and analyze its complexity. The simulations quantify the gains achieved by our proposed heterogeneous F-RAN solution compared with the traditional homogeneous F-RAN scheme and the derived lower bounds in terms of both CBS offloading and throughput."
Algorithms for the graph coloring problem based on swarm intelligence,"M. Dorrigiv, H. Y. Markib",2012.0,CSI International Symposium on Artificial Intelligence and Signal Processing,16,https://www.semanticscholar.org/paper/d7d9fa6dbb5c580a7b7789618e754736b966ccd2,
Deep Learning-based Approximate Graph-Coloring Algorithm for Register Allocation,"Dibyendu Das, Shahid Asghar Ahmad, Venkataramanan Kumar",2020.0,Workshop on the LLVM Compiler Infrastructure in HPC,16,https://www.semanticscholar.org/paper/82c97ff4a809da6802263f57b7259248e3a659f6,"Graph-coloring is an NP-hard problem which has a myriad of applications. Register allocation, which is a crucial phase of a good optimizing compiler, relies on graph coloring. Hence, an efficient graph-coloring algorithm is of paramount importance. In this work we try to 'learn’ a good heuristic for coloring interference graphs that are used in the register allocation phase. We aim to handle moderate-sized interference graphs which have 100 nodes or less. For such graphs we can get the optimal allocation of colors to the nodes. Such optimal coloring is then used to train our Deep Learning (DL) network which is based on several layers of LSTM that output a color for each node of the graph. However, the trained network may allocate the same color to the nodes connected by an edge resulting in an invalid coloring of the interference graph. Since it is difficult to encode constraints in an LSTM to avoid invalid coloring, we augment our deep learning network with a color correction phase that runs after the colors have been allocated by the DL network. Thus, our algorithm is approximate or hybrid in nature consisting of a mix of a DL algorithm followed by a more traditional correction phase. The color correction phase handles the edges with invalid coloring by first trying to reuse a color allocated to other nodes that are not connected to the invalid nodes, failing which it adds a totally new color - thereby breaking the invalid allocation. Our experience with many graphs shows that around 10%-30% edges may get an invalid coloring. We have trained our DL network using several thousand random graphs of varying sparsity(density). On application of our approximate algorithm to various popular graphs found in literature we see that our algorithm does very well when compared to the optimal coloring of these graphs. We have also run our algorithm against LLVM's popular greedy register allocator (GRA) for several SPEC CPU 2017 benchmarks and notice that the approximate algorithm performs on par or better than GRA for most of these benchmarks."
Register Allocation by Optimal Graph Coloring,C. Andersson,2003.0,International Conference on Compiler Construction,15,https://www.semanticscholar.org/paper/ac710133b495d2c76d76618da5a17e5ce99abc58,
"Graph coloring: The more colors, the better?","Tamás Szép, Z. Mann",2010.0,International Symposium on Computational Intelligence and Informatics,15,https://www.semanticscholar.org/paper/3edef192608f376b5c1714eca8c7dade01e3ad05,
Modified ant colony system for coloring graphs,"SangHyuck Ahn, SeungGwan Lee, TaeChoong Chung",2003.0,"Fourth International Conference on Information, Communications and Signal Processing, 2003 and the Fourth Pacific Rim Conference on Multimedia. Proceedings of the 2003 Joint",15,https://www.semanticscholar.org/paper/db90baee7b8ce34002bff3e4ebee29d967be042b,
Optimizing Timetabling Solutions Using Graph Coloring (cid:3),"S. Miner, Saleh Elmohamed, H. Yau",1995.0,,15,https://www.semanticscholar.org/paper/fbe194ee2205d2b52502d2f698a0682c7b7ba68b,
A memetic algorithm based on hyper-heuristics for examination timetabling problems,"Yu Lei, Maoguo Gong, L. Jiao, Yi Zuo",2015.0,International Journal of Intelligent Computing and Cybernetics,15,https://www.semanticscholar.org/paper/50d5bdfafa989c41b1852729b04c60990042e752,
End-to-End Throughput-Aware Channel Assignment in Multi-Radio Wireless Mesh Networks,"Fei Ye, Qing Chen, Z. Niu",2007.0,IEEE GLOBECOM 2007 - IEEE Global Telecommunications Conference,15,https://www.semanticscholar.org/paper/ac7eee9519ed22e5c0d282b6aa2628ac0a5173b2,
Cosine: A new graph coloring algorithm,A. Hertz,1991.0,Operations Research Letters,14,https://www.semanticscholar.org/paper/39c654e537c3ea79e5bf6634dcaa6220a66972b0,
Grooming multicast traffic in unidirectional SONET/WDM rings,"Anuj Rawat, R. La, S. Marcus, M. Shayman",2007.0,IEEE Journal on Selected Areas in Communications,14,https://www.semanticscholar.org/paper/dbefc3e3990ee1f080cd6120466d6d2c792250fb,
Data Outsourcing in Cloud Environments: A Privacy Preserving Approach,"T. J. V. R. K. M. K. Sayi, R. Krishna, R. Mukkamala, P. K. Baruah",2012.0,2012 Ninth International Conference on Information Technology - New Generations,14,https://www.semanticscholar.org/paper/72877a885ab7f003f52023262858b2a81fbc0e92,
Hypergraph-based frequency reuse in dense femtocell networks,"Jiawei Feng, M. Tao",2013.0,2013 IEEE/CIC International Conference on Communications in China (ICCC),14,https://www.semanticscholar.org/paper/19247f97aa8dd1942aa675cffaf27fd89c7da81e,
Iterated local search with tabu search for the weighted vertex coloring problem,"B. Nogueira, E. Tavares, P. Maciel",2021.0,Computers & Operations Research,14,https://www.semanticscholar.org/paper/961added75593b2155cda42f10c62d75a4c937b2,"Abstract This paper proposes an iterated local search (ILS) based heuristic for the weighted vertex coloring problem (WVCP). Given a graph G ( V , E ) with a weight w ( v ) associated with each vertex v ∈ V , the WVCP asks to find a coloring { V 1 , … , V k } of G that minimizes ∑ i = 1 k max v ∈ V i w ( v ) . This problem has many theoretical and practical applications, such as batch scheduling, buffer minimization, and traffic assignment in telecommunication. Our ILS heuristic relies on two new neighborhood structures for the problem, and its local search component is hybridized with a tabu search strategy. We compare our approach with state-of-the-art heuristics and exact methods for the problem. Experimental results on well-known benchmark instances demonstrate that, first, our heuristic is better than the other heuristics in both solution quality and computational time, and, second, it is a good alternative for large instances that cannot be solved by exact methods."
Statistical mechanics of combinatorial search,"Tad Hogg, Xerox",1994.0,Proceedings Workshop on Physics and Computation. PhysComp '94,14,https://www.semanticscholar.org/paper/5eac9cc9bc77fcd0c17feaaa3eff09cfcc3c0980,
Routing and wavelength assignment in optical WDM networks with maximum quantity of edge disjoint paths,"Hyunseung Choo, V. Shakhov, B. Mukherjee",2006.0,Photonic network communications,13,https://www.semanticscholar.org/paper/c884258ddf015ef1dc2d0c9661132ac326e23b52,
Extending Traditional Graph-Coloring Register Allocation Exploiting Meta-heuristics for Embedded Systems,"Shengning Wu, Sikun Li",2007.0,"International Conference on Computing, Networking and Communications",13,https://www.semanticscholar.org/paper/14c6750e2a5142dd14c9e5fb4830ffa9b938c440,
Exact and Heuristic Graph-Coloring for Energy Efficient Advance Cloud Resource Reservation,"Chaima Ghribi, D. Zeghlache",2014.0,IEEE International Conference on Cloud Computing,13,https://www.semanticscholar.org/paper/98d0f7064af85b8dd1cd341dcaedda9141f65cbe,
Resource efficiency improved approach for shared path protection in EONs,"Huanlin Liu, Ruiyan Li, Yong Chen, Xin Wang",2017.0,Photonic network communications,13,https://www.semanticscholar.org/paper/ff2fc3422d7e3b5d7e29fbed8ab8550b4d60a3cd,
Monte Carlo Tree Search in Finding Feasible Solutions for Course Timetabling Problem,"Say Leng Goh, G. Kendall, Nasser R. Sabar",2019.0,"International Journal on Advanced Science, Engineering and Information Technology",13,https://www.semanticscholar.org/paper/71d64e238fd9e55cc8ad46fba62a8bed3c18eda2,"We are addressing the course timetabling problem in this work. In a university, students can select their favorite courses each semester. Thus, the general requirement is to allow them to attend lectures without clashing with other lectures. A feasible solution is a solution where this and other conditions are satisfied. Constructing reasonable solutions for course timetabling problem is a hard task. Most of the existing methods failed to generate reasonable solutions for all cases. This is since the problem is heavily constrained and an eﬀective method is required to explore and exploit the search space. We utilize Monte Carlo Tree Search (MCTS) in finding feasible solutions for the first time. In MCTS, we build a tree incrementally in an asymmetric manner by sampling the decision space. It is traversed in the best-first manner. We propose several enhancements to MCTS like simulation and tree pruning based on a heuristic. The performance of MCTS is compared with the methods based on graph coloring heuristics and Tabu search. We test the solution methodologies on the three most studied publicly available datasets. Overall, MCTS performs better than the method based on graph coloring heuristic; however, it is inferior compared to the Tabu based method. Experimental results are discussed."
Clause Learning and New Bounds for Graph Coloring,"E. Hébrard, G. Katsirelos",2018.0,International Conference on Principles and Practice of Constraint Programming,12,https://www.semanticscholar.org/paper/0fe2f729d8ceecf05be7a3d52a25f5369ec34e01,
Code Generation Techniques,Todd A. Proebsting,1992.0,,12,https://www.semanticscholar.org/paper/399c186af3b5127d1fd5287cb216ba61f23e082e,
Utilization and Fairness in Spectrum Assignment for Cognitive Radio Networks: An Ant Colony Optimization's Perspective,Xiao-ou Song,2014.0,2014 International Conference on Wireless Communication and Sensor Network,12,https://www.semanticscholar.org/paper/6cde2998b37b579f7046b61768373eb8c896d363,
A Tabu Search Heuristic for the Equitable Coloring Problem,"I. Méndez-Díaz, G. Nasini, Daniel E. Severín",2014.0,International Symposium on Combinatorial Optimization,12,https://www.semanticscholar.org/paper/a985bda1abe51ca8b92c4676b271a33bfcd7c5fb,"The Equitable Coloring Problem is a variant of the Graph Coloring Problem where the sizes of two arbitrary color classes differ in at most one unit. This additional condition, called equity constraints, arises naturally in several applications. Due to the hardness of the problem, current exact algorithms can not solve large-sized instances. Such instances must be addressed only via heuristic methods."
On applications of graph/network theory to problems in communication systems,"H. Tamura, K. Nakano, M. Sengoku, S. Shinoda",1970.0,,12,https://www.semanticscholar.org/paper/e14e8f67b06004deb86e6e56889f074af2acdf5a,"Graph/network theory results are applicable to problems in communications. As a representative example, the node coloring problem in graph theory is applicable to the channel assignment problem in cellular mobile communication systems. The node coloring problem is NP-complete, meaning that optimally solving it is very difficult. Therefore, we use heuristic algorithms for the channel assignment problem. In this case, the graph theory results show the legitimacy of using heuristic techniques. On the other hand, we can directly apply graph theory to communication problems. For example, on contents delivery services in the Internet, we place mirror servers that provide the same contents on the network. Location problems on flow networks are applicable to mirror server allocation problems. In a simple case, we can efficiently solve the problem. In this paper, we concentrate on multi-hop wireless networks and consider the relationship between their problems and the results of graph/network theory."
Static vs. dynamic populations in genetic algorithms for coloring a dynamic graph,"C. Monical, F. Stonedahl",2014.0,Annual Conference on Genetic and Evolutionary Computation,12,https://www.semanticscholar.org/paper/49f191461e48996d89de14f75bb90987091d9e00,
Graph coloring with quantum heuristics,"Alex Fabrikant, T. Hogg",2002.0,AAAI/IAAI,12,https://www.semanticscholar.org/paper/b589b95dd666ff55a048db3ef0efc3b0f9bce1f9,
Distributed Heuristics for Allocating Spectrum in CR Ad hoc Networks,"V. Rao, R. Venkatesha Prasad, C. Yadati, I. Niemegeers",2010.0,2010 IEEE Global Telecommunications Conference GLOBECOM 2010,12,https://www.semanticscholar.org/paper/0aad02de42889929a8b5aa22e53e0f7dc3ea6a22,
Compressing CFI Graphs and Lower Bounds for the Weisfeiler-Leman Refinements,"Martin Grohe, Moritz Lichter, Daniel Neuen, Pascal Schweitzer",2023.0,IEEE Annual Symposium on Foundations of Computer Science,12,https://www.semanticscholar.org/paper/76198ff74afff2b695cccc0095651b2542587ca8,"The k-dimensional Weisfeiler-Leman (k-WL) algorithm is a simple combinatorial algorithm that was originally designed as a graph isomorphism heuristic. It naturally finds applications in Babai’s quasipolynomial-time isomorphism algorithm, practical isomorphism solvers, and algebraic graph theory. However, it also has surprising connections to other areas such as logic, proof complexity, combinatorial optimization, and machine learning. The algorithm iteratively computes a coloring of the k-tuples of vertices of a graph. Since Fürer’s linear lower bound [ICALP 2001], it has been an open question whether there is a super-linear lower bound for the iteration number for k-WL on graphs. We answer this question affirmatively, establishing an $\Omega\left(n^{k / 2}\right)$-lower bound for all k."
